20KHZ_200KHZ,200KHZ_2MHZ,2MHZ_20MHZ,20MHZ_200MHZ,200MHZ_2000MHZ,2000MHZ_2GHZ,OBJECT
0.10427,0.65734,0.61923,0.27184,0.14947,0.00647,R
0.18597,0.48575,0.67736,0.31425,0.20817,0.01186,R
0.10147,0.46621,0.69354,0.3331,0.22132,0.00708,R
0.13652,0.41832,0.70216,0.41767,0.25485,0.01039,R
0.10615,0.51751,0.59693,0.28381,0.16124,0.0134,R
0.12084,0.45492,0.68899,0.36384,0.20838,0.0099,R
0.17514,0.6003,0.60593,0.54582,0.1135,0.00892,R
0.20297,0.45964,0.60938,0.37169,0.09826,0.00775,R
0.07316,0.22312,0.60986,0.29138,0.11279,0.0067,R
0.09201,0.35499,0.72258,0.44236,0.12341,0.00972,R
0.08797,0.23522,0.64799,0.32075,0.11493,0.00728,R
0.07102,0.18328,0.41862,0.48725,0.02945,0.01179,R
0.04933,0.1674,0.37245,0.44349,0.10747,0.01213,R
0.12571,0.25943,0.4376,0.58035,0.2676,0.01926,M
0.22844,0.37266,0.42484,0.30943,0.19254,0.01717,M
0.08845,0.34959,0.38379,0.30534,0.16895,0.01746,M
0.14571,0.70877,0.24571,0.17383,0.08835,0.01572,M
0.14836,0.74926,0.31112,0.24969,0.06279,0.01914,M
0.11788,0.6531,0.3003,0.31016,0.07089,0.01516,M
0.06556,0.70719,0.36034,0.36743,0.05899,0.00996,M
0.08773,0.69057,0.3519,0.33558,0.16474,0.01491,M
0.08293,0.64377,0.61103,0.3006,0.08529,0.01315,M
0.05713,0.46222,0.58821,0.40575,0.19591,0.01064,M
0.07705,0.50373,0.61879,0.45072,0.1815,0.00935,M
0.06502,0.51248,0.64881,0.38694,0.15477,0.01006,M
0.07287,0.39545,0.792,0.29984,0.20119,0.01353,M
0.06394,0.46792,0.79684,0.28195,0.19698,0.00994,M
0.16082,0.48671,0.68691,0.31638,0.18439,0.01739,M
0.10638,0.58469,0.62004,0.37673,0.13031,0.01496,M
0.09668,0.5405,0.64849,0.32152,0.14967,0.00914,M
0.09835,0.59841,0.73814,0.24156,0.15068,0.01352,M
0.10086,0.58622,0.62933,0.33894,0.18659,0.01396,M
0.11396,0.55898,0.79001,0.19999,0.11788,0.01232,M
0.10357,0.47184,0.86376,0.25403,0.17094,0.00909,M
0.10783,0.44983,0.90452,0.23074,0.11061,0.01042,M
0.11223,0.51817,0.85024,0.20176,0.10664,0.00931,M
0.07152,0.43446,0.8769,0.30038,0.14812,0.00815,M
0.08211,0.49503,0.8901,0.22634,0.14861,0.00976,M
0.11232,0.55373,0.89272,0.2157,0.12965,0.00973,M
0.10145,0.48966,0.83822,0.22281,0.13284,0.0124,M
0.15377,0.51559,0.77808,0.19947,0.11824,0.0127,M
0.15802,0.61192,0.83105,0.25742,0.13252,0.01304,M
0.1599,0.77501,0.64704,0.19846,0.11179,0.01196,M
0.18017,0.69407,0.72668,0.19605,0.1539,0.01657,M
0.14272,0.70076,0.65258,0.18808,0.12636,0.01351,M
0.16301,0.73876,0.58929,0.26137,0.12635,0.01192,M
0.15608,0.76131,0.3845,0.17041,0.12071,0.0152,M
0.19838,0.32651,0.36745,0.67091,0.229,0.01238,M
0.20786,0.34436,0.38507,0.57823,0.20079,0.01643,M
0.20787,0.44377,0.43907,0.65842,0.29496,0.01939,M
0.24524,0.41484,0.41028,0.74628,0.18789,0.01435,M
0.23401,0.33218,0.4192,0.66617,0.22034,0.02493,M
0.26332,0.34922,0.49201,0.69474,0.29358,0.01854,M
0.17039,0.37007,0.62597,0.43687,0.19364,0.0125,M
0.15201,0.2456,0.66444,0.3257,0.22482,0.02262,M
0.07702,0.26035,0.68047,0.35681,0.17762,0.01637,M
0.13001,0.33923,0.64585,0.36474,0.42604,0.02385,M
0.12079,0.39447,0.74312,0.43265,0.36344,0.0168,M
0.09683,0.25813,0.67992,0.54269,0.36308,0.0256,M
0.13623,0.29407,0.68761,0.52038,0.42711,0.01844,M
0.08131,0.26404,0.5327,0.42086,0.37563,0.01846,M
0.13063,0.28115,0.64903,0.50737,0.31566,0.01675,M
0.10361,0.30477,0.47114,0.44505,0.50216,0.03402,M
0.15579,0.48687,0.68174,0.45375,0.36388,0.0303,M
0.13761,0.38917,0.55657,0.17283,0.12594,0.00947,M
0.07733,0.27255,0.63828,0.22279,0.18257,0.00969,M
0.08875,0.36817,0.52739,0.28525,0.05872,0.00517,M
0.07322,0.46793,0.56994,0.30368,0.09623,0.00835,M
0.05828,0.45935,0.64671,0.37437,0.15139,0.00715,M
0.11086,0.54003,0.70344,0.20684,0.11808,0.00572,M
0.11264,0.51712,0.74619,0.17052,0.13002,0.00343,M
0.08813,0.49569,0.56227,0.26774,0.11459,0.0057,M
0.12339,0.20316,0.70779,0.63701,0.31376,0.00662,M
0.09777,0.20271,0.62904,0.71735,0.3695,0.00918,M
0.13378,0.23756,0.60921,0.71159,0.29771,0.00779,M
0.12253,0.26899,0.58109,0.72075,0.27256,0.00908,M
0.12726,0.18299,0.69262,0.60641,0.28837,0.00609,M
0.09803,0.17746,0.61292,0.69554,0.40578,0.00978,M
0.07267,0.26494,0.71384,0.36089,0.23244,0.00586,M
0.08009,0.33698,0.63649,0.38865,0.15774,0.00542,M
0.1138,0.39533,0.66887,0.66035,0.28195,0.00572,M
0.08988,0.39417,0.71541,0.57485,0.16181,0.00653,M
0.07956,0.14977,0.49795,0.49543,0.30363,0.00939,M
0.02898,0.18808,0.68073,0.50925,0.24125,0.00587,M
0.0579,0.30433,0.86233,0.52909,0.1858,0.00484,M
0.0561,0.28813,0.80471,0.4963,0.19837,0.00398,M
0.04909,0.25712,0.78142,0.55201,0.23187,0.00393,M
0.19556,0.40601,0.78534,0.48819,0.13433,0.01174,M
0.1206,0.36564,0.65296,0.4639,0.16445,0.00679,M
0.13061,0.38025,0.62136,0.21963,0.1188,0.00662,M
0.09345,0.42022,0.78591,0.35079,0.21761,0.01156,M
0.11042,0.42486,0.77571,0.32239,0.19462,0.00493,M
0.1377,0.47027,0.78108,0.28967,0.18907,0.00743,M
0.07777,0.30464,0.86126,0.38853,0.09847,0.00796,M
0.06308,0.25819,0.73458,0.35789,0.09518,0.00681,M
0.09758,0.31731,0.77146,0.38765,0.15614,0.00821,M
0.1399,0.41413,0.78911,0.33615,0.21311,0.00873,M
0.11046,0.35166,0.73963,0.41534,0.39845,0.01004,M
0.11752,0.42436,0.74824,0.42688,0.28494,0.00968,M
0.12282,0.42851,0.81525,0.42225,0.28917,0.01157,M
0.19577,0.45557,0.78812,0.31479,0.23098,0.01165,M
0.12972,0.45195,0.82363,0.37695,0.24957,0.00896,M
0.13211,0.32343,0.62144,0.39482,0.43466,0.00768,M
0.09905,0.27023,0.63169,0.29965,0.22844,0.00704,M
0.08317,0.25533,0.65294,0.29286,0.18982,0.00728,M
0.09756,0.285,0.69206,0.27582,0.14391,0.00739,M
0.07235,0.25724,0.69551,0.30166,0.14937,0.00794,M
0.08179,0.24431,0.70737,0.26832,0.14526,0.00576,M
0.08421,0.24814,0.6956,0.25114,0.12751,0.0064,M
0.06999,0.2162,0.69992,0.30362,0.14761,0.00664,M
0.09244,0.26033,0.82021,0.24616,0.11037,0.0055,M
0.083,0.32391,0.85677,0.1871,0.16158,0.00663,M
0.08933,0.35091,0.89118,0.16095,0.13809,0.00733,M
0.07604,0.30736,0.86056,0.19538,0.13693,0.00518,M
0.08597,0.29051,0.84941,0.17826,0.13029,0.00637,M
0.08231,0.34193,0.86991,0.20376,0.09609,0.00779,M
0.12318,0.36669,0.87394,0.18391,0.13956,0.00652,M
0.11099,0.3577,0.8441,0.13878,0.13301,0.00553,M
0.15012,0.24757,0.74671,0.2821,0.08227,0.00739,M
0.11635,0.22679,0.80091,0.23933,0.11572,0.0128,M
0.08196,0.22516,0.8232,0.28966,0.09134,0.00661,M
0.09175,0.17556,0.79874,0.29309,0.08165,0.00932,M
0.10162,0.21514,0.79234,0.2214,0.10205,0.00568,M
0.07835,0.23791,0.81887,0.25058,0.11501,0.00855,M
